_quality_rank,catalog_profile_slug,catalog_profile_name,source_type,source_value,page,limit,hasNextPage,scrollId,itemId,shopId,shopName,productName,productLink,offerLink,imageUrl,commissionRate,appExistRate,appNewRate,webExistRate,webNewRate,commission,price,sales,periodEndTime,periodStartTime,priceMin,priceMax,productCatIds,ratingStar,priceDiscountRate,shopType,sellerCommissionRate,shopeeCommissionRate,source_hits,subniches,_source_row,_dedupe_key,_duplicate_count,duplicate_name_price_tag,duplicate_name_price_group_id,duplicate_name_price_group_size,duplicate_name_price_keeper,subniche_basis,source_keywords_norm,unmapped_source_keywords
19,auto-e-moto,Auto e Moto,keyword,bluetooth carro,7,50,True,,23198536279,1479618845,CHINAINK,Geladeira Portátil Elber 75l 12/24V Bluetooth Ipx4 para Carro barco caminhão  motorhome iate lancha,https://shopee.com.br/product/1479618845/23198536279,https://s.shopee.com.br/70I4NRqWZK,https://cf.shopee.com.br/file/sg-11134201-8259x-mftxg4cn2adpdd,0.12,0.12,0.12,0.12,0.12,348.0,2900.0,11,1782874799,1777258800,2900.0,2900.0,"[100010, 100041, 100209]",4.7,26,[],0.09,0.03,"[""keyword:bluetooth carro""]","[""energia-e-conectividade""]",95159,1479618845:23198536279,1,candidato_revisao_duplicata_nome_preco,dup_np_000403,2,false,source_hits,"[""bluetooth carro""]",[]
277,auto-e-moto,Auto e Moto,keyword,scanner automotivo,23,50,True,,58201104802,742746611,S2M-Tecnologia,Scanner Automotivo  Thinkcar 689BT  Atualização  vitalícia,https://shopee.com.br/product/742746611/58201104802,https://s.shopee.com.br/1qZyD9CitK,https://cf.shopee.com.br/file/br-11134207-81z1k-mhjmc2qga2o356,0.03,0.03,0.03,0.03,0.03,101.8497,3394.99,0,1782874799,1777258800,3394.99,4399.99,"[102187, 102265, 102268]",5.0,0,[],0.0,0.03,"[""keyword:scanner automotivo""]","[""ferramentas-e-manutencao""]",86331,742746611:58201104802,1,candidato_revisao_duplicata_nome_preco,dup_np_000713,2,false,source_hits,"[""scanner automotivo""]",[]
439,auto-e-moto,Auto e Moto,keyword,reparo de pneu,24,50,True,,58253274643,328736611,GS Produtos,Vulcanizador 500W P/ Reparo De Pneus Duplo Com Controle De Temperatura De 155 A 180°C ENVIO IMEDIATO,https://shopee.com.br/product/328736611/58253274643,https://s.shopee.com.br/9UzPJKDs0E,https://cf.shopee.com.br/file/sg-11134201-825zo-mjhblux6i7eve4,0.09,0.09,0.09,0.09,0.09,74.691,829.9,0,1782874799,1777258800,829.9,829.9,"[102187, 102265, 102565]",5.0,19,[],0.06,0.03,"[""keyword:reparo de pneu"", ""keyword:ferramenta reparo pneu""]","[""acessorios-geral""]",64822,328736611:58253274643,1,candidato_revisao_duplicata_nome_preco,dup_np_000827,2,false,sem_regra_taxonomia,"[""reparo de pneu"", ""ferramenta reparo pneu""]","[""reparo de pneu"", ""ferramenta reparo pneu""]"
632,auto-e-moto,Auto e Moto,keyword,radio carro,14,50,True,,43470560455,1543234138,Mundoviva,"9 "" 7 "" 2 din 4 + 64gb android carro player tela de toque carplay & estéreo rádio wifi Bluetooth GPS",https://shopee.com.br/product/1543234138/43470560455,https://s.shopee.com.br/1LdhcgJocO,https://cf.shopee.com.br/file/sg-11134201-825aj-mey3orcuqcjl0b,0.1,0.1,0.1,0.1,0.1,53.7,537.0,3,1782874799,1777258800,537.0,623.0,"[102187, 102249, 102527]",4.5,51,[2],0.07,0.03,"[""keyword:radio carro"", ""keyword:bluetooth carro""]","[""audio-e-som"", ""energia-e-conectividade""]",90017,1543234138:43470560455,1,candidato_revisao_duplicata_nome_preco,dup_np_000058,2,false,source_hits,"[""radio carro"", ""bluetooth carro""]",[]
647,auto-e-moto,Auto e Moto,keyword,disco de polimento,3,50,True,,58208755034,499859839,RAPIDAO NET,Esmerilhadeira Angular 48v 2 Baterias Disco 125mm Corta Lixa Desbasta Polimento,https://shopee.com.br/product/499859839/58208755034,https://s.shopee.com.br/4AxsvsZmMN,https://cf.shopee.com.br/file/sg-11134201-81zvg-mn0awlpz2dj514,0.13,0.13,0.13,0.13,0.13,53.0543,408.11,3,1782874799,1777258800,408.11,408.11,"[100636, 100715, 101191]",4.8,0,[],0.1,0.03,"[""keyword:disco de polimento""]","[""acessorios-geral""]",40614,499859839:58208755034,1,candidato_revisao_duplicata_nome_preco,dup_np_000368,2,false,sem_regra_taxonomia,"[""disco de polimento""]","[""disco de polimento""]"
695,auto-e-moto,Auto e Moto,keyword,compressor ar portátil,17,50,True,,58203593969,392202270,SKY MALL,Compressor de Ar Bomba Elétrica Portátil Sem Fio 48V Calibrador Regulador Digital 120 PSI 2 Baterias,https://shopee.com.br/product/392202270/58203593969,https://s.shopee.com.br/5AqQ6FgKhB,https://cf.shopee.com.br/file/br-11134207-81ztc-mjo6iwbd6135ea,0.13,0.13,0.13,0.13,0.13,49.2024,378.48,0,1782874799,1777258800,378.48,378.48,"[102187, 102265, 102269]",5.0,0,[],0.1,0.03,"[""keyword:compressor ar portátil""]","[""acessorios-geral""]",10926,392202270:58203593969,1,candidato_revisao_duplicata_nome_preco,dup_np_000301,2,false,sem_regra_taxonomia,"[""compressor ar portátil""]","[""compressor ar portátil""]"
714,auto-e-moto,Auto e Moto,keyword,radio carro,16,50,True,,22094438792,1027415014,LEGAL PLUS,"Bluetooth 7"" 9""  2 din 4 + 64gb android carro mp5 player tela de toque carplay & android carro estéreo rádio",https://shopee.com.br/product/1027415014/22094438792,https://s.shopee.com.br/2LWEoWTCur,https://cf.shopee.com.br/file/sg-11134201-825a8-mey33znuiy9s01,0.09,0.09,0.09,0.09,0.09,48.33,537.0,1,1782874799,1777258800,537.0,623.0,"[102187, 102249, 102527]",5.0,51,[2],0.06,0.03,"[""keyword:radio carro"", ""keyword:bluetooth carro""]","[""audio-e-som"", ""energia-e-conectividade""]",90104,1027415014:22094438792,1,candidato_revisao_duplicata_nome_preco,dup_np_000131,2,false,source_hits,"[""radio carro"", ""bluetooth carro""]",[]
736,auto-e-moto,Auto e Moto,keyword,dash cam,1,50,True,,42217842228,1163157664,Beelink_BR,Câmera Painel Azdome WiFi Dash Cam FHD 1080P Carros M330,https://shopee.com.br/product/1163157664/42217842228,https://s.shopee.com.br/9zvfrN9HQm,https://cf.shopee.com.br/file/br-11134275-81z1k-mebm1v9y562rea,0.18,0.18,0.18,0.18,0.18,47.7774,265.43,0,1782874799,1777258800,265.43,265.43,"[100635, 100700, 101104]",5.0,35,[1],0.15,0.03,"[""keyword:dash cam""]","[""acessorios-geral""]",16235,1163157664:42217842228,1,candidato_revisao_duplicata_nome_preco,dup_np_000325,2,false,sem_regra_taxonomia,"[""dash cam""]","[""dash cam""]"
1025,auto-e-moto,Auto e Moto,keyword,dash cam,1,50,True,,26391214322,1163157664,Beelink_BR,Câmera Painel Azdome M200 Full HD Dash Cam WiFi 150°,https://shopee.com.br/product/1163157664/26391214322,https://s.shopee.com.br/8V6s4cEzTT,https://cf.shopee.com.br/file/br-11134275-81z1k-mebm1vdnuy9sf5,0.18,0.18,0.18,0.18,0.18,35.3736,196.52,1,1782874799,1777258800,196.52,196.52,"[100635, 100700, 101104]",5.0,36,[1],0.15,0.03,"[""keyword:dash cam""]","[""acessorios-geral""]",16234,1163157664:26391214322,1,candidato_revisao_duplicata_nome_preco,dup_np_000324,2,false,sem_regra_taxonomia,"[""dash cam""]","[""dash cam""]"
1036,auto-e-moto,Auto e Moto,keyword,compressor de ar carro,4,50,True,,23899025958,1177319319,CARPEI ACESSORIO LTDA,5 em 1 Auxiliador de Partida Compressor Ar PowerBank Led 8000 mAh 3500 Pa 6 Funções Carro Carpei,https://shopee.com.br/product/1177319319/23899025958,https://s.shopee.com.br/2BCoZWrIsz,https://cf.shopee.com.br/file/br-11134207-820l8-ml7r9ijjerye5b,0.13,0.13,0.13,0.13,0.13,35.0987,269.99,23,1782874799,1777258800,269.99,269.99,"[102187, 102265, 102567]",4.9,61,[2],0.1,0.03,"[""keyword:compressor de ar carro""]","[""acessorios-geral""]",60527,1177319319:23899025958,1,candidato_revisao_duplicata_nome_preco,dup_np_000047,4,false,sem_regra_taxonomia,"[""compressor de ar carro""]","[""compressor de ar carro""]"
1037,auto-e-moto,Auto e Moto,keyword,compressor de ar carro,4,50,True,,21098322267,1307017279,ZeM Acessorios,5 em 1 - Auxiliador de Partida Compressor Ar PowerBank Led 8000 mAh 3500 Pa 6 Funções Carro,https://shopee.com.br/product/1307017279/21098322267,https://s.shopee.com.br/2Vpey8q2D5,https://cf.shopee.com.br/file/br-11134207-81ztc-mk13r8saq1hcc6,0.13,0.13,0.13,0.13,0.13,35.0987,269.99,8,1782874799,1777258800,269.99,269.99,"[102187, 102265, 102567]",4.9,61,[2],0.1,0.03,"[""keyword:compressor de ar carro""]","[""acessorios-geral""]",60529,1307017279:21098322267,1,candidato_revisao_duplicata_nome_preco,dup_np_000046,4,false,sem_regra_taxonomia,"[""compressor de ar carro""]","[""compressor de ar carro""]"
1038,auto-e-moto,Auto e Moto,keyword,compressor de ar carro,4,50,True,,23194453803,1177319319,CARPEI ACESSORIO LTDA,5 em 1 - Auxiliador de Partida Compressor Ar PowerBank Led 8000 mAh 3500 Pa 6 Funções Carro,https://shopee.com.br/product/1177319319/23194453803,https://s.shopee.com.br/2LWElpqfY2,https://cf.shopee.com.br/file/br-11134207-820mb-ml7uzudv3ls542,0.13,0.13,0.13,0.13,0.13,35.0987,269.99,23,1782874799,1777258800,269.99,269.99,"[102187, 102265, 102567]",4.8,61,[2],0.1,0.03,"[""keyword:compressor de ar carro""]","[""acessorios-geral""]",60528,1177319319:23194453803,1,candidato_revisao_duplicata_nome_preco,dup_np_000046,4,false,sem_regra_taxonomia,"[""compressor de ar carro""]","[""compressor de ar carro""]"
1039,auto-e-moto,Auto e Moto,keyword,compressor de ar carro,4,50,True,,58258457568,1307017279,ZeM Acessorios,5 em 1 Auxiliador de Partida Compressor Ar PowerBank Led 8000 mAh 3500 Pa 6 Funções Carro Carpei,https://shopee.com.br/product/1307017279/58258457568,https://s.shopee.com.br/gO0mlx0vo,https://cf.shopee.com.br/file/sg-11134201-81zuz-mmtby85131mw4a,0.13,0.13,0.13,0.13,0.13,35.0987,269.99,2,1782874799,1777258800,269.99,269.99,"[102187, 102265, 102567]",4.8,61,[2],0.1,0.03,"[""keyword:compressor de ar carro""]","[""acessorios-geral""]",60530,1307017279:58258457568,1,candidato_revisao_duplicata_nome_preco,dup_np_000047,4,false,sem_regra_taxonomia,"[""compressor de ar carro""]","[""compressor de ar carro""]"
