_quality_rank,catalog_profile_slug,catalog_profile_name,source_type,source_value,page,limit,hasNextPage,scrollId,itemId,shopId,shopName,productName,productLink,offerLink,imageUrl,commissionRate,appExistRate,appNewRate,webExistRate,webNewRate,commission,price,sales,periodEndTime,periodStartTime,priceMin,priceMax,productCatIds,ratingStar,priceDiscountRate,shopType,sellerCommissionRate,shopeeCommissionRate,source_hits,subniches,_source_row,_dedupe_key,_duplicate_count,duplicate_name_price_tag,duplicate_name_price_group_id,duplicate_name_price_group_size,duplicate_name_price_keeper,subniche_basis,source_keywords_norm,unmapped_source_keywords
39,feminino,Feminino,keyword,chinelo,5,50,True,,58252747964,1090996394,Havaianas Oficial,Rasteirinha Havaianas Una Açaí,https://shopee.com.br/product/1090996394/58252747964,https://s.shopee.com.br/20uwsEifOx,https://cf.shopee.com.br/file/sg-11134201-81ztr-milzys41onwgde,0.13,0.13,0.13,0.13,0.13,25.3487,194.99,2,32503651199,1767706444,194.99,194.99,"[100532, 100561, 100593]",5.0,0,[1],0.1,0.03,"[""keyword:chinelo"", ""keyword:rasteirinha""]","[""calcados-chinelo"", ""calcados-rasteirinha""]",998,1090996394:58252747964,1,candidato_revisao_duplicata_nome_preco,dup_np_000011,2,false,source_hits,"[""chinelo"", ""rasteirinha""]",[]
48,feminino,Feminino,keyword,chinelo,5,50,True,,58204985213,1090996394,Havaianas Oficial,Rasteirinha Havaianas Aqua Glow,https://shopee.com.br/product/1090996394/58204985213,https://s.shopee.com.br/2VrDT9glO0,https://cf.shopee.com.br/file/sg-11134201-82617-mkionil0f18j7b,0.13,0.13,0.13,0.13,0.13,18.5237,142.49,5,32503651199,1770737478,142.49,142.49,"[100532, 100561, 100593]",4.5,8,[1],0.1,0.03,"[""keyword:chinelo"", ""keyword:rasteirinha""]","[""calcados-chinelo"", ""calcados-rasteirinha""]",995,1090996394:58204985213,1,candidato_revisao_duplicata_nome_preco,dup_np_000010,2,false,source_hits,"[""chinelo"", ""rasteirinha""]",[]
111,feminino,Feminino,keyword,sandalia,4,50,True,,22794746471,1090996394,Havaianas Oficial,Chinelo Havaianas Urban Basic Material,https://shopee.com.br/product/1090996394/22794746471,https://s.shopee.com.br/6VNMETJTWk,https://cf.shopee.com.br/file/sg-11134201-81zui-milokuh5crnn36,0.13,0.13,0.13,0.13,0.13,11.7312,90.24,13,32503651199,1766497160,90.24,90.24,"[100532, 100561, 100594]",5.0,10,[1],0.1,0.03,"[""keyword:sandalia"", ""keyword:chinelo""]","[""calcados-sandalia"", ""calcados-chinelo""]",187,1090996394:22794746471,1,candidato_revisao_duplicata_nome_preco,dup_np_000008,2,false,source_hits,"[""sandalia"", ""chinelo""]",[]
134,feminino,Feminino,keyword,sandalia,5,50,True,,58206820229,1090996394,Havaianas Oficial,Chinelo Havaianas Slim Square Sparkle,https://shopee.com.br/product/1090996394/58206820229,https://s.shopee.com.br/6q0Cd5MXMi,https://cf.shopee.com.br/file/sg-11134201-8262b-mlqprz5jmcjp21,0.13,0.13,0.13,0.13,0.13,11.0487,84.99,3,32503651199,1773339573,84.99,84.99,"[100532, 100561, 100594]",5.0,6,[1],0.1,0.03,"[""keyword:sandalia"", ""keyword:chinelo""]","[""calcados-sandalia"", ""calcados-chinelo""]",195,1090996394:58206820229,1,candidato_revisao_duplicata_nome_preco,dup_np_000005,2,false,source_hits,"[""sandalia"", ""chinelo""]",[]
152,feminino,Feminino,keyword,sandalia,5,50,True,,58204396507,1090996394,Havaianas Oficial,Kit Havaianas - Chinelo Havaianas Slim Square Logo Pop Up + Presilha de Cabelo Havaianas,https://shopee.com.br/product/1090996394/58204396507,https://s.shopee.com.br/7KwTE0KdLl,https://cf.shopee.com.br/file/sg-11134201-825zy-mk49npp5g8hy5b,0.13,0.13,0.13,0.13,0.13,10.3974,79.98,5,32503651199,1769801416,79.98,79.99,"[100532, 100561, 100594]",4.8,0,[1],0.1,0.03,"[""keyword:sandalia"", ""keyword:chinelo""]","[""calcados-sandalia"", ""calcados-chinelo""]",192,1090996394:58204396507,1,candidato_revisao_duplicata_nome_preco,dup_np_000009,2,false,source_hits,"[""sandalia"", ""chinelo""]",[]
194,feminino,Feminino,keyword,sandalia,4,50,True,,22299256526,1090996394,Havaianas Oficial,Chinelo Havaianas Slim Glitter II,https://shopee.com.br/product/1090996394/22299256526,https://s.shopee.com.br/7KwTE0GIpl,https://cf.shopee.com.br/file/sg-11134201-8258s-mq4x8f4vz4eled,0.13,0.13,0.13,0.13,0.13,8.6437,66.49,44,32503651199,1766496950,66.49,74.99,"[100532, 100561, 100594]",5.0,11,[1],0.1,0.03,"[""keyword:sandalia"", ""keyword:chinelo""]","[""calcados-sandalia"", ""calcados-chinelo""]",178,1090996394:22299256526,1,candidato_revisao_duplicata_nome_preco,dup_np_000002,2,false,source_hits,"[""sandalia"", ""chinelo""]",[]
229,feminino,Feminino,keyword,sandalia,4,50,True,,58252747465,1090996394,Havaianas Oficial,Chinelo Havaianas Slim Logo Metallic,https://shopee.com.br/product/1090996394/58252747465,https://s.shopee.com.br/7fZJccF29r,https://cf.shopee.com.br/file/sg-11134201-8259v-mgcbhx02k9ov93,0.13,0.13,0.13,0.13,0.13,7.7987,59.99,22,32503651199,1767706067,59.99,59.99,"[100532, 100561, 100594]",4.9,8,[1],0.1,0.03,"[""keyword:sandalia"", ""keyword:chinelo""]","[""calcados-sandalia"", ""calcados-chinelo""]",180,1090996394:58252747465,1,candidato_revisao_duplicata_nome_preco,dup_np_000003,2,false,source_hits,"[""sandalia"", ""chinelo""]",[]
291,feminino,Feminino,keyword,chinelo,3,50,True,,21199087902,1090996394,Havaianas Oficial,Chinelo Havaianas Slim,https://shopee.com.br/product/1090996394/21199087902,https://s.shopee.com.br/20uwsEZajs,https://cf.shopee.com.br/file/sg-11134201-825zz-ml6jjsijxqma1e,0.18,0.18,0.18,0.18,0.18,6.8382,37.99,0,32503651199,1764558000,37.99,49.99,"[100532, 100561, 100594]",4.9,0,[1],0.15,0.03,"[""keyword:chinelo""]","[""calcados-chinelo""]",962,1090996394:21199087902,1,candidato_revisao_duplicata_nome_preco,dup_np_000006,2,false,source_hits,"[""chinelo""]",[]
370,feminino,Feminino,keyword,sandalia,4,50,True,,58252747012,1090996394,Havaianas Oficial,Chinelo Havaianas Slim Pets,https://shopee.com.br/product/1090996394/58252747012,https://s.shopee.com.br/9AO7PN9K70,https://cf.shopee.com.br/file/sg-11134201-825au-mq3ek5j7785e9e,0.13,0.13,0.13,0.13,0.13,5.8487,44.99,129,32503651199,1767705717,44.99,44.99,"[100532, 100561, 100594]",5.0,25,[1],0.1,0.03,"[""keyword:sandalia"", ""keyword:chinelo""]","[""calcados-sandalia"", ""calcados-chinelo""]",171,1090996394:58252747012,1,candidato_revisao_duplicata_nome_preco,dup_np_000004,2,false,source_hits,"[""sandalia"", ""chinelo""]",[]
371,feminino,Feminino,keyword,sandalia,5,50,True,,22199415150,1090996394,Havaianas Oficial,Chinelo Havaianas Top Tiras,https://shopee.com.br/product/1090996394/22199415150,https://s.shopee.com.br/6L3w2AORNj,https://cf.shopee.com.br/file/sg-11134201-8261i-mlqrsigvqvbcf0,0.13,0.13,0.13,0.13,0.13,5.8487,44.99,0,32503651199,1773342962,44.99,44.99,"[100532, 100561, 100594]",5.0,0,[1],0.1,0.03,"[""keyword:sandalia"", ""keyword:chinelo""]","[""calcados-sandalia"", ""calcados-chinelo""]",202,1090996394:22199415150,1,candidato_revisao_duplicata_nome_preco,dup_np_000007,3,false,source_hits,"[""sandalia"", ""chinelo""]",[]
