_quality_rank,catalog_profile_slug,catalog_profile_name,source_type,source_value,page,limit,hasNextPage,scrollId,itemId,shopId,shopName,productName,productLink,offerLink,imageUrl,commissionRate,appExistRate,appNewRate,webExistRate,webNewRate,commission,price,sales,periodEndTime,periodStartTime,priceMin,priceMax,productCatIds,ratingStar,priceDiscountRate,shopType,sellerCommissionRate,shopeeCommissionRate,source_hits,subniches,_source_row,_dedupe_key,_duplicate_count,duplicate_name_price_tag,duplicate_name_price_group_id,duplicate_name_price_group_size,duplicate_name_price_keeper,subniche_basis,source_keywords_norm,unmapped_source_keywords
1,feminino,Feminino,keyword,slide,2,50,True,,22694220798,1316514850,Bestway Store,Banheira Ofurô Spa Inflável Maldives 1.050L Hydrojet + LED 7 Cores + Aplicativo WiFi + Capa Bestway,https://shopee.com.br/product/1316514850/22694220798,https://s.shopee.com.br/3qMb3eA4pf,https://cf.shopee.com.br/file/br-11134207-820m7-ml6fy8po19tz88,0.09,0.09,0.09,0.09,0.09,704.709,7830.1,2,32503651199,1768907520,7830.1,7830.1,"[100632, 100684, 101011]",5.0,35,[1],0.06,0.03,"[""keyword:slide""]","[""feminino-geral""]",1555,1316514850:22694220798,1,,,,,sem_regra_taxonomia,"[""slide""]","[""slide""]"
2,feminino,Feminino,keyword,slide,3,50,True,,58262647201,1316514850,Bestway Store,Banheira Ofurô Spa Inflável Rome 1180L Smart AirJet + 1 Bomba Aquecedora + App WiFi + Capa Bestway,https://shopee.com.br/product/1316514850/58262647201,https://s.shopee.com.br/1gI6TfMRxT,https://cf.shopee.com.br/file/br-11134207-820ls-mpk0sveebny927,0.09,0.09,0.09,0.09,0.09,629.1,6990.0,1,32503651199,1781652081,6990.0,6990.0,"[100632, 100684, 101011]",5.0,29,[1],0.06,0.03,"[""keyword:slide""]","[""feminino-geral""]",1606,1316514850:58262647201,1,,,,,sem_regra_taxonomia,"[""slide""]","[""slide""]"
3,feminino,Feminino,keyword,slide,2,50,True,,22797989077,1316514850,Bestway Store,Spa Ofurô Inflável Hollywood 908L + Iluminação LED + Bomba 110V ou 220V + Capa Bestway,https://shopee.com.br/product/1316514850/22797989077,https://s.shopee.com.br/BTIguO2HF,https://cf.shopee.com.br/file/br-11134207-820l6-mru4tox4houe98,0.09,0.09,0.09,0.09,0.09,539.1,5990.0,0,32503651199,1768907520,5990.0,5990.0,"[100632, 100684, 101011]",5.0,22,[1],0.06,0.03,"[""keyword:slide""]","[""feminino-geral""]",1573,1316514850:22797989077,1,,,,,sem_regra_taxonomia,"[""slide""]","[""slide""]"
4,feminino,Feminino,keyword,slide,2,50,True,,22198013697,1316514850,Bestway Store,Banheira Ofurô Spa Inflável Palm Springs 916L + Bomba Aquecedora+ Capa Bestway,https://shopee.com.br/product/1316514850/22198013697,https://s.shopee.com.br/3LQKSjByqW,https://cf.shopee.com.br/file/br-11134207-7r98o-mbwjppnccjaf80,0.09,0.09,0.09,0.09,0.09,350.1,3890.0,20,32503651199,1768907520,3890.0,3990.0,"[100632, 100684, 101011]",4.9,29,[1],0.06,0.03,"[""keyword:slide""]","[""feminino-geral""]",1552,1316514850:22198013697,1,,,,,sem_regra_taxonomia,"[""slide""]","[""slide""]"
5,feminino,Feminino,keyword,slide,2,50,True,,23293224170,1316514850,Bestway Store,Ilha Flutuante Inflável Boia Com Cooler Para Até 6 Pessoas Bestway,https://shopee.com.br/product/1316514850/23293224170,https://s.shopee.com.br/gPZHpM8GG,https://cf.shopee.com.br/file/br-11134207-820li-mqdac3abwzr5ea,0.09,0.09,0.09,0.09,0.09,269.1,2990.0,0,32503651199,1768907520,2990.0,2990.0,"[100632, 100684, 101011]",4.7,9,[1],0.06,0.03,"[""keyword:slide""]","[""feminino-geral""]",1568,1316514850:23293224170,1,,,,,sem_regra_taxonomia,"[""slide""]","[""slide""]"
6,feminino,Feminino,keyword,loafer,5,50,False,,19498293001,936658468,Achei Pneus,Kit 2 Pneus 225/45R19 Run Flat Bridgestone Potenza S001 92W,https://shopee.com.br/product/936658468/19498293001,https://s.shopee.com.br/7fZJcgDPwC,https://cf.shopee.com.br/file/br-11134207-81z1k-me48dopzsferbf,0.05,0.05,0.05,0.05,0.05,259.4995,5189.99,0,32503651199,1764558000,5189.99,5189.99,"[102187, 102264, 102552]",5.0,21,[1],0.02,0.03,"[""keyword:loafer""]","[""feminino-geral""]",1438,936658468:19498293001,1,,,,,sem_regra_taxonomia,"[""loafer""]","[""loafer""]"
7,feminino,Feminino,keyword,loafer,4,50,True,,23598856168,936658468,Achei Pneus,Kit 2 Pneus 275/40R20 Run Flat Bridgestone Alenza 001 106W,https://shopee.com.br/product/936658468/23598856168,https://s.shopee.com.br/LmitCb0KA,https://cf.shopee.com.br/file/br-11134207-820lb-mqcakz80ouf58b,0.05,0.05,0.05,0.05,0.05,209.4995,4189.99,0,32503651199,1764558000,4189.99,4189.99,"[102187, 102264, 102552]",5.0,21,[1],0.02,0.03,"[""keyword:loafer""]","[""feminino-geral""]",1395,936658468:23598856168,1,,,,,sem_regra_taxonomia,"[""loafer""]","[""loafer""]"
8,feminino,Feminino,keyword,slide,2,50,True,,22793224454,1316514850,Bestway Store,Mega Parque Pula-Pula Inflável + Escorregador H2OGO Bestway,https://shopee.com.br/product/1316514850/22793224454,https://s.shopee.com.br/W695WMlbL,https://cf.shopee.com.br/file/sg-11134201-7rdyj-lywnik1l903bcd,0.09,0.09,0.09,0.09,0.09,179.1,1990.0,0,32503651199,1768907520,1990.0,1990.0,"[100632, 100684, 101011]",5.0,39,[1],0.06,0.03,"[""keyword:slide""]","[""feminino-geral""]",1575,1316514850:22793224454,1,,,,,sem_regra_taxonomia,"[""slide""]","[""slide""]"
9,feminino,Feminino,keyword,slide,4,50,True,,23699126987,1617519379,Webco Prime,"Kit Pula Pula 2,44m + Piscina De Bolinhas 1m + 500 Bolinhas + Escorrega Médio + 2 Gangorra 1l + 1 G2",https://shopee.com.br/product/1617519379/23699126987,https://s.shopee.com.br/8AVaDc6mME,https://cf.shopee.com.br/file/sg-11134201-82594-mgdo3lhlw4jwe7,0.07,0.07,0.07,0.07,0.07,163.7993,2339.99,3,32503651199,1768486021,2339.99,2339.99,"[100632, 100684, 101011]",5.0,0,[1],0.04,0.03,"[""keyword:slide""]","[""feminino-geral""]",1652,1617519379:23699126987,1,,,,,sem_regra_taxonomia,"[""slide""]","[""slide""]"
10,feminino,Feminino,keyword,slide,4,50,True,,23899117160,1617519379,Webco Prime,"Kit Pula Pula 2,30m + Piscina De Bolinhas 1,00m + 500 Bolinhas + Escorregador Médio + Gangorra 1 L",https://shopee.com.br/product/1617519379/23899117160,https://s.shopee.com.br/5LBOqPHZ6R,https://cf.shopee.com.br/file/sg-11134201-8258f-mgdoam8m4hl782,0.07,0.07,0.07,0.07,0.07,137.319,1961.7,33,32503651199,1768486021,1961.7,1961.7,"[100632, 100684, 101011]",4.9,0,[1],0.04,0.03,"[""keyword:slide""]","[""feminino-geral""]",1637,1617519379:23899117160,1,,,,,sem_regra_taxonomia,"[""slide""]","[""slide""]"
