_quality_rank,catalog_profile_slug,catalog_profile_name,source_type,source_value,page,limit,hasNextPage,scrollId,itemId,shopId,shopName,productName,productLink,offerLink,imageUrl,commissionRate,appExistRate,appNewRate,webExistRate,webNewRate,commission,price,sales,periodEndTime,periodStartTime,priceMin,priceMax,productCatIds,ratingStar,priceDiscountRate,shopType,sellerCommissionRate,shopeeCommissionRate,source_hits,subniches,_source_row,_dedupe_key,_duplicate_count,duplicate_name_price_tag,duplicate_name_price_group_id,duplicate_name_price_group_size,duplicate_name_price_keeper,subniche_basis,source_keywords_norm,unmapped_source_keywords
73,feminino,Feminino,keyword,roupas,40,50,False,,12597422230,872473112,Madesa Móveis,Guarda-Roupa Casal Madesa Kansas 3 Portas de Correr com Espelho 3 Gavetas,https://shopee.com.br/product/872473112/12597422230,https://s.shopee.com.br/5AqPXwQ7gK,https://cf.shopee.com.br/file/sg-11134201-22110-hpgcfbptxljv44,0.16,0.16,0.16,0.16,0.16,281.7376,1760.86,1,1782874799,1777258800,1760.86,1760.86,"[100636, 100713, 101170]",5.0,11,[1],0.13,0.03,"[""keyword:roupas""]","[""moda-geral""]",58723,872473112:12597422230,1,candidato_revisao_duplicata_nome_preco,dup_np_000510,2,false,source_hits,"[""roupas""]",[]
128,feminino,Feminino,keyword,roupas,38,50,True,,20770315248,872473112,Madesa Móveis,Guarda Roupa Casal Madesa Mônaco 3 Portas de Correr de Espelho,https://shopee.com.br/product/872473112/20770315248,https://s.shopee.com.br/5AqPXwCvKa,https://cf.shopee.com.br/file/sg-11134201-22110-vibhqzlbxljve2,0.16,0.16,0.16,0.16,0.16,212.1728,1326.08,1,1782874799,1777258800,1326.08,1326.08,"[100636, 100713, 101170]",4.7,11,[1],0.13,0.03,"[""keyword:roupas""]","[""moda-geral""]",58657,872473112:20770315248,1,candidato_revisao_duplicata_nome_preco,dup_np_000508,2,false,source_hits,"[""roupas""]",[]
159,feminino,Feminino,keyword,roupas,37,50,True,,21866489953,872473112,Madesa Móveis,Guarda Roupa Casal Madesa Lyon 3 Portas de Correr com Espelho 2 Gavetas,https://shopee.com.br/product/872473112/21866489953,https://s.shopee.com.br/9fIouCrOPI,https://cf.shopee.com.br/file/sg-11134201-7rd49-lx8pefdk3qzq70,0.16,0.16,0.16,0.16,0.16,191.3024,1195.64,5,1782874799,1777258800,1195.64,1195.64,"[100636, 100713, 101170]",4.5,11,[1],0.13,0.03,"[""keyword:roupas""]","[""moda-geral""]",58629,872473112:21866489953,1,candidato_revisao_duplicata_nome_preco,dup_np_000507,2,false,source_hits,"[""roupas""]",[]
199,feminino,Feminino,keyword,roupas,39,50,True,,18666531144,872473112,Madesa Móveis,Guarda-Roupa Solteiro Madesa Dallas 2 Portas de Correr de Espelho 2 Gavetas,https://shopee.com.br/product/872473112/18666531144,https://s.shopee.com.br/50WzLdMDhp,https://cf.shopee.com.br/file/sg-11134201-7rbmj-lprxykngpxls55,0.16,0.16,0.16,0.16,0.16,172.1728,1076.08,5,1782874799,1777258800,1076.08,1076.08,"[100636, 100713, 101170]",4.6,11,[1],0.13,0.03,"[""keyword:roupas""]","[""moda-geral""]",58718,872473112:18666531144,1,candidato_revisao_duplicata_nome_preco,dup_np_000511,2,false,source_hits,"[""roupas""]",[]
229,feminino,Feminino,keyword,roupas,37,50,True,,20160749319,872473112,Madesa Móveis,Guarda Roupa Casal 3 Portas de Correr com Espelho Madesa Mônaco,https://shopee.com.br/product/872473112/20160749319,https://s.shopee.com.br/110qaHONzo,https://cf.shopee.com.br/file/br-11134207-820ls-mm7m6mrkv9xia6,0.16,0.16,0.16,0.16,0.16,161.7376,1010.86,3,1782874799,1777258800,1010.86,1139.99,"[100636, 100713, 101170]",4.9,11,[1],0.13,0.03,"[""keyword:roupas""]","[""moda-geral""]",58641,872473112:20160749319,1,candidato_revisao_duplicata_nome_preco,dup_np_000506,2,false,source_hits,"[""roupas""]",[]
559,feminino,Feminino,keyword,modelador de cabelo,8,50,True,,23293718166,425182117,Fox For Men Alfa Looks Loja Oficial,Kit Pasta Modeladora Fox For Men 80g Todos os Modelos 40 Und,https://shopee.com.br/product/425182117/23293718166,https://s.shopee.com.br/2BCnx1emyW,https://cf.shopee.com.br/file/br-11134207-7r98o-m6plqgd96ddce6,0.23,0.23,0.23,0.23,0.23,87.4,380.0,3,1782874799,1777258800,380.0,380.0,"[100630, 100659, 100873]",4.9,0,[2],0.2,0.03,"[""keyword:modelador de cabelo""]","[""cabelo-ferramentas""]",32312,425182117:23293718166,1,candidato_revisao_duplicata_nome_preco,dup_np_000723,2,false,source_hits,"[""modelador de cabelo""]",[]
584,feminino,Feminino,keyword,modelador de cabelo,18,50,True,,56956444454,404666429,Loja Oficial Fox For Men Alfa Looks,Kit Pasta Modeladora Fox For Men 80g Todos os Modelos 45 Undades,https://shopee.com.br/product/404666429/56956444454,https://s.shopee.com.br/5VTFvAX3cB,https://cf.shopee.com.br/file/sg-11134201-82605-ml5ax0bgym1b94,0.2,0.2,0.2,0.2,0.2,85.5,427.5,0,1782874799,1777258800,427.5,427.5,"[100630, 100659, 100873]",4.7,0,[2],0.17,0.03,"[""keyword:modelador de cabelo""]","[""cabelo-ferramentas""]",32765,404666429:56956444454,1,candidato_revisao_duplicata_nome_preco,dup_np_000724,2,false,source_hits,"[""modelador de cabelo""]",[]
653,feminino,Feminino,keyword,calca jeans,13,50,True,,20125458040,817436751,estilocountry,Kit com 5 Calças Jeans Masculina Lycra Básica Trabalho Serviço Ref: 916,https://shopee.com.br/product/817436751/20125458040,https://s.shopee.com.br/3ViBbaqbCC,https://cf.shopee.com.br/file/br-11134207-7r98o-lso96at1rnsre2,0.29,0.29,0.29,0.29,0.29,79.2396,273.24,0,1782874799,1777258800,273.24,273.24,"[100011, 100047, 0]",5.0,28,[2],0.26,0.03,"[""keyword:calca jeans""]","[""moda-calcas""]",92976,817436751:20125458040,1,candidato_revisao_duplicata_nome_preco,dup_np_000676,2,false,source_hits,"[""calca jeans""]",[]
662,feminino,Feminino,keyword,modelador de cabelo,13,50,True,,22892135199,425182117,Fox For Men Alfa Looks Loja Oficial,Pasta Modeladora Preta Black 80g - Fox For Men-36 Unidades,https://shopee.com.br/product/425182117/22892135199,https://s.shopee.com.br/1qZxYQBxNg,https://cf.shopee.com.br/file/sg-11134201-7rbkp-lqp0a39mhuv8bc,0.23,0.23,0.23,0.23,0.23,78.66,342.0,0,1782874799,1777258800,342.0,342.0,"[100630, 100660, 100878]",5.0,0,[2],0.2,0.03,"[""keyword:modelador de cabelo""]","[""cabelo-ferramentas""]",32575,425182117:22892135199,1,candidato_revisao_duplicata_nome_preco,dup_np_000875,2,false,source_hits,"[""modelador de cabelo""]",[]
695,feminino,Feminino,keyword,modelador de cabelo,13,50,True,,22498008451,425182117,Fox For Men Alfa Looks Loja Oficial,Kit Pasta Modeladora Fox For Men 80g Todos os Modelos 35 Und,https://shopee.com.br/product/425182117/22498008451,https://s.shopee.com.br/1Vx79oDE3e,https://cf.shopee.com.br/file/sg-11134201-7repy-m204nn1q6sild4,0.23,0.23,0.23,0.23,0.23,76.475,332.5,0,1782874799,1777258800,332.5,332.5,"[100630, 100660, 100878]",5.0,0,[2],0.2,0.03,"[""keyword:modelador de cabelo""]","[""cabelo-ferramentas""]",32577,425182117:22498008451,1,candidato_revisao_duplicata_nome_preco,dup_np_000722,3,false,source_hits,"[""modelador de cabelo""]",[]
