_quality_rank,catalog_profile_slug,catalog_profile_name,source_type,source_value,page,limit,hasNextPage,scrollId,itemId,shopId,shopName,productName,productLink,offerLink,imageUrl,commissionRate,appExistRate,appNewRate,webExistRate,webNewRate,commission,price,sales,periodEndTime,periodStartTime,priceMin,priceMax,productCatIds,ratingStar,priceDiscountRate,shopType,sellerCommissionRate,shopeeCommissionRate,source_hits,subniches,_source_row,_dedupe_key,_duplicate_count,duplicate_name_price_tag,duplicate_name_price_group_id,duplicate_name_price_group_size,duplicate_name_price_keeper,subniche_basis,source_keywords_norm,unmapped_source_keywords
74,mae-e-bebe,Mae e Bebe,keyword,cadeira alimentação bebê,5,50,True,,23297321318,961512338,Loja Baby World,CAD.REF.PRIMA PAPPA 0-3 Burigotto,https://shopee.com.br/product/961512338/23297321318,https://s.shopee.com.br/qhQFtTPXl,https://cf.shopee.com.br/file/sg-11134201-7rdwj-m1it380tn7g605,0.13,0.13,0.13,0.13,0.13,148.07,1139.0,0,1782874799,1777258800,1139.0,1139.0,"[100632, 100675, 100955]",5.0,0,[2],0.1,0.03,"[""keyword:cadeira alimentação bebê""]","[""alimentacao-cadeiras""]",3127,961512338:23297321318,1,candidato_revisao_duplicata_nome_preco,dup_np_000153,2,false,source_hits,"[""cadeira alimentação bebê""]",[]
130,mae-e-bebe,Mae e Bebe,keyword,banheira bebê,11,50,True,,20598985287,961512338,Loja Baby World,Banheira Com Trocador E Suporte Infantil Millenia+ Burigotto,https://shopee.com.br/product/961512338/20598985287,https://s.shopee.com.br/30lurve7SQ,https://cf.shopee.com.br/file/sg-11134201-7rbkb-ln1n4zl0is6t4a,0.15,0.15,0.15,0.15,0.15,110.85,739.0,0,1782874799,1777258800,739.0,739.0,"[100632, 100678, 100968]",4.9,0,[2],0.12,0.03,"[""keyword:banheira bebê""]","[""banho-banheiras""]",11782,961512338:20598985287,1,candidato_revisao_duplicata_nome_preco,dup_np_000081,2,false,source_hits,"[""banheira bebê""]",[]
146,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,39,50,True,,23994334174,340054154,PlanetadoBebê,Carrinho de Passeio C/Bebê Conforto TS NIVI Maxi Baby,https://shopee.com.br/product/340054154/23994334174,https://s.shopee.com.br/8pjhoR0Ccq,https://cf.shopee.com.br/file/br-11134207-81z1k-mepsiwoaywoyec,0.11,0.11,0.11,0.11,0.11,104.4989,949.99,0,1782874799,1777258800,949.99,949.99,"[100632, 100674, 100946]",5.0,32,[1],0.08,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",9985,340054154:23994334174,1,candidato_revisao_duplicata_nome_preco,dup_np_000194,2,false,source_hits,"[""carrinho bebê""]",[]
191,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,38,50,True,,23498807884,828882817,Maxi Baby Store,Carrinho de Passeio com Bebê Conforto 2 em 1 Travel System Youturn Maxi Baby,https://shopee.com.br/product/828882817/23498807884,https://s.shopee.com.br/60PWRE7gnE,https://cf.shopee.com.br/file/br-11134207-81z1k-mfmjmqgeyvwk09,0.11,0.11,0.11,0.11,0.11,91.19,829.0,45,1782874799,1777258800,829.0,829.0,"[100632, 100674, 100946]",4.9,17,[1],0.08,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",9969,828882817:23498807884,1,candidato_revisao_duplicata_nome_preco,dup_np_000195,2,false,source_hits,"[""carrinho bebê""]",[]
384,mae-e-bebe,Mae e Bebe,keyword,babá eletrônica,2,50,True,,23993097829,1153128268,UgreenBR,Babá Eletrônica HB65 HelloBaby Branco,https://shopee.com.br/product/1153128268/23993097829,https://s.shopee.com.br/1BKGhAj9bQ,https://cf.shopee.com.br/file/br-11134201-7r98o-lwg5qhmgsik88e,0.18,0.18,0.18,0.18,0.18,62.3592,346.44,0,1782874799,1777258800,346.44,346.44,"[100632, 100680, 100984]",5.0,34,[],0.15,0.03,"[""keyword:babá eletrônica"", ""keyword:monitor bebê""]","[""quarto-monitoramento""]",16830,1153128268:23993097829,1,candidato_revisao_duplicata_nome_preco,dup_np_000069,2,false,source_hits,"[""babá eletrônica"", ""monitor bebê""]",[]
422,mae-e-bebe,Mae e Bebe,keyword,mosquiteiro bebê,26,50,True,,23198678890,1479781657,Sítio do Bebê,Berço Portátil Moises Co-bed Com Balanço Mosquiteiro e Cesto Regulagem De Altura,https://shopee.com.br/product/1479781657/23198678890,https://s.shopee.com.br/8KnREEGEKx,https://cf.shopee.com.br/file/br-11134207-820ld-mpa7v6nsvo5c03,0.11,0.11,0.11,0.11,0.11,59.3439,539.49,33,1782874799,1777258800,539.49,599.49,"[100632, 100679, 100978]",5.0,68,[2],0.08,0.03,"[""keyword:mosquiteiro bebê""]","[""quarto-sono-mosquiteiros""]",16351,1479781657:23198678890,1,candidato_revisao_duplicata_nome_preco,dup_np_000100,2,false,source_hits,"[""mosquiteiro bebê""]",[]
431,mae-e-bebe,Mae e Bebe,keyword,bomba tira leite,12,50,True,,23094926283,750964153,Obabox Oficial,Kit Bomba tira Leite Elétrica Dupla Fisher Price + 25 Sacos Para Armazenar Leite Materno - BB1224KF,https://shopee.com.br/product/750964153/23094926283,https://s.shopee.com.br/5VTFroAWTh,https://cf.shopee.com.br/file/sg-11134201-81ztr-mmq559t6f9j5c9,0.09,0.09,0.09,0.09,0.09,58.41,649.0,3,1782874799,1777258800,649.0,649.0,"[100632, 100675, 100954]",5.0,23,[1],0.06,0.03,"[""keyword:bomba tira leite""]","[""amamentacao-extracao-leite""]",21959,750964153:23094926283,1,candidato_revisao_duplicata_nome_preco,dup_np_000336,2,false,source_hits,"[""bomba tira leite""]",[]
511,mae-e-bebe,Mae e Bebe,keyword,enxoval bebê,26,50,True,,23793235167,389279924,Mamãe Reborn,Bebê Reborn Silicone Enxoval 28 Itens Boneca Carrinho Berço - 48cm!,https://shopee.com.br/product/389279924/23793235167,https://s.shopee.com.br/9AMYBigQgJ,https://cf.shopee.com.br/file/sg-11134201-7repg-m28dnde87nerdf,0.15,0.15,0.15,0.15,0.15,53.985,359.9,1,1782874799,1777258800,359.9,359.9,"[100632, 100684, 101008]",4.9,33,[1],0.12,0.03,"[""keyword:enxoval bebê""]","[""enxoval-kits""]",1565,389279924:23793235167,1,candidato_revisao_duplicata_nome_preco,dup_np_000098,2,false,source_hits,"[""enxoval bebê""]",[]
542,mae-e-bebe,Mae e Bebe,keyword,roupa bebê,5,50,True,,17280428521,311190613,Vision Kids,Kit 3 Calças Jogger Bebê Infantil Juvenil - Calça jeans apertada da moda 2 ao 16,https://shopee.com.br/product/311190613/17280428521,https://s.shopee.com.br/30lusrOWlP,https://cf.shopee.com.br/file/br-11134207-7r98o-mcv130l8gjsid4,0.32,0.32,0.32,0.32,0.32,52.768,164.9,0,1782874799,1777258800,164.9,164.9,"[100633, 100690, 101045]",4.8,18,[],0.29,0.03,"[""keyword:roupa bebê""]","[""roupas-geral""]",19650,311190613:17280428521,1,candidato_revisao_duplicata_nome_preco,dup_np_000308,2,false,source_hits,"[""roupa bebê""]",[]
563,mae-e-bebe,Mae e Bebe,keyword,babá eletrônica,3,50,True,,22493976600,1524383764,KOBAC SHOP,"Baba Eletrônica Com Monitor Visão Noturna, Câmera c/ Audio Sensor de Temperatura VB603",https://shopee.com.br/product/1524383764/22493976600,https://s.shopee.com.br/6ffDFHRRm6,https://cf.shopee.com.br/file/br-11134207-81ztc-mj5bdhtpzojl52,0.18,0.18,0.18,0.18,0.18,52.182,289.9,1,1782874799,1777258800,289.9,289.9,"[100632, 100680, 100984]",4.8,52,[],0.15,0.03,"[""keyword:babá eletrônica"", ""keyword:monitor bebê""]","[""quarto-monitoramento""]",16863,1524383764:22493976600,1,candidato_revisao_duplicata_nome_preco,dup_np_000050,2,false,source_hits,"[""babá eletrônica"", ""monitor bebê""]",[]
