_quality_rank,catalog_profile_slug,catalog_profile_name,source_type,source_value,page,limit,hasNextPage,scrollId,itemId,shopId,shopName,productName,productLink,offerLink,imageUrl,commissionRate,appExistRate,appNewRate,webExistRate,webNewRate,commission,price,sales,periodEndTime,periodStartTime,priceMin,priceMax,productCatIds,ratingStar,priceDiscountRate,shopType,sellerCommissionRate,shopeeCommissionRate,source_hits,subniches,_source_row,_dedupe_key,_duplicate_count,duplicate_name_price_tag,duplicate_name_price_group_id,duplicate_name_price_group_size,duplicate_name_price_keeper,subniche_basis,source_keywords_norm,unmapped_source_keywords
1,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,19,50,True,,44225798838,961512338,Loja Baby World,Carrinho Passeio Moisés 0-15 Kg Candy Titanium Litet BB185A,https://shopee.com.br/product/961512338/44225798838,https://s.shopee.com.br/4AxsEWqazV,https://cf.shopee.com.br/file/sg-11134201-825as-mg8awfgloruz81,0.15,0.15,0.15,0.15,0.15,605.85,4039.0,0,1782874799,1777258800,4039.0,4039.0,"[100632, 100674, 100946]",5.0,0,[2],0.12,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",19279,961512338:44225798838,1,,,,,source_hits,"[""carrinho bebê""]",[]
2,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,19,50,True,,55150128193,961512338,Loja Baby World,Carrinho Passeio Infantil Moisés Candy X Litet Preto BB294TS,https://shopee.com.br/product/961512338/55150128193,https://s.shopee.com.br/7prAbGcdYR,https://cf.shopee.com.br/file/sg-11134201-8259u-mg8aw7wg72ffc2,0.15,0.15,0.15,0.15,0.15,605.85,4039.0,0,1782874799,1777258800,4039.0,4039.0,"[100632, 100674, 100946]",5.0,0,[2],0.12,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",19293,961512338:55150128193,1,,,,,source_hits,"[""carrinho bebê""]",[]
3,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,20,50,True,,22397845528,839608910,BabyStock,Carrinho com Bebê Conforto  Travel System Eva³ Trio 0 a 15 Kg Essential Black Champagne - Maxi-Cosi,https://shopee.com.br/product/839608910/22397845528,https://s.shopee.com.br/20tNg5Kxtc,https://cf.shopee.com.br/file/sg-11134201-7rdwe-m0m4ifwmcyv8d5,0.15,0.15,0.15,0.15,0.15,600.255,4001.7,0,1782874799,1777258800,4001.7,4001.7,"[100632, 100674, 100946]",5.0,0,[],0.12,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",19322,839608910:22397845528,1,,,,,source_hits,"[""carrinho bebê""]",[]
4,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,2,50,True,,29391751915,789987783,Loja do Naka,Kit Carrinho Bebê Gb Pockit+ All-city Night Blue Com Bolsa,https://shopee.com.br/product/789987783/29391751915,https://s.shopee.com.br/8KnRC9ooEa,https://cf.shopee.com.br/file/sg-11134201-824iu-met1of2pqtc527,0.25,0.25,0.25,0.25,0.25,574.75,2299.0,0,1782874799,1777258800,2299.0,2299.0,"[100632, 100674, 100946]",5.0,20,[2],0.22,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",18468,789987783:29391751915,1,,,,,source_hits,"[""carrinho bebê""]",[]
5,mae-e-bebe,Mae e Bebe,keyword,brinquedo montessori bebê,18,50,True,,22898009494,763724888,Eita Casa Perfeita,Combo Completo Brinquedoteca Grande Madeira Infantil Faz de Conta Pedagógico Montessori Kit Livro,https://shopee.com.br/product/763724888/22898009494,https://s.shopee.com.br/1Vx76E1ZPf,https://cf.shopee.com.br/file/br-11134207-7r98o-m28l677wvkna94,0.13,0.13,0.13,0.13,0.13,443.2428,3409.56,0,1782874799,1777258800,3409.56,3409.56,"[100632, 100684, 101009]",5.0,0,[1],0.1,0.03,"[""keyword:brinquedo montessori bebê""]","[""brinquedos-montessori""]",40951,763724888:22898009494,1,,,,,source_hits,"[""brinquedo montessori bebê""]",[]
6,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,18,50,True,,22698648980,1012658943,POPOTA E DINO,Carrinho De Bebê Parcel Signature Preto Carbon - Joie,https://shopee.com.br/product/1012658943/22698648980,https://s.shopee.com.br/30luqNqV3T,https://cf.shopee.com.br/file/br-11134207-81z1k-mhcanxwr6mtcf0,0.15,0.15,0.15,0.15,0.15,440.853,2939.02,0,1782874799,1777258800,2939.02,2939.02,"[100632, 100674, 100946]",5.0,2,[2],0.12,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",19249,1012658943:22698648980,1,,,,,source_hits,"[""carrinho bebê""]",[]
7,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,18,50,True,,40127448238,1012658943,POPOTA E DINO,Carrinho de Bebe Compacto para Passeio Joie Parcel Oyster,https://shopee.com.br/product/1012658943/40127448238,https://s.shopee.com.br/3qL1punKMg,https://cf.shopee.com.br/file/br-11134207-81z1k-milp6a4plx4xa2,0.15,0.15,0.15,0.15,0.15,440.853,2939.02,0,1782874799,1777258800,2939.02,2939.02,"[100632, 100674, 100946]",5.0,2,[2],0.12,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",19252,1012658943:40127448238,1,,,,,source_hits,"[""carrinho bebê""]",[]
8,mae-e-bebe,Mae e Bebe,keyword,bolsa maternidade,1,50,True,,15380596628,427251682,Belaa Baby,Kit Bolsa Maternidade Menino Luxo Paris Champanhe/Cacau/Marinho - 03 Peças,https://shopee.com.br/product/427251682/15380596628,https://s.shopee.com.br/80AabJjtGy,https://cf.shopee.com.br/file/br-11134207-820l9-mnvt7d924tfmdd,0.48,0.48,0.48,0.48,0.48,431.952,899.9,10,1782874799,1777258800,899.9,899.9,"[100632, 100674, 100950]",5.0,40,[2],0.45,0.03,"[""keyword:bolsa maternidade""]","[""maternidade-bolsas-mochilas""]",15310,427251682:15380596628,1,,,,,source_hits,"[""bolsa maternidade""]",[]
9,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,2,50,True,,23998690284,789987783,Loja do Naka,Kit Carrinho Compacto Dobrável Bebê Desert Night Gb Pockit All terrain Bolsa,https://shopee.com.br/product/789987783/23998690284,https://s.shopee.com.br/7AbTo0tFbF,https://cf.shopee.com.br/file/sg-11134201-7rdxv-mbshptswxjcp0e,0.25,0.25,0.25,0.25,0.25,424.975,1699.9,2,1782874799,1777258800,1699.9,1699.9,"[100632, 100674, 100946]",4.8,20,[2],0.22,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",18461,789987783:23998690284,1,,,,,source_hits,"[""carrinho bebê""]",[]
10,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,2,50,True,,19199841273,789987783,Loja do Naka,Kit Carrinho De Bebê Passeio GB Pockit+ All-terrain Laguna Blue Com Bolsa De Transporte,https://shopee.com.br/product/789987783/19199841273,https://s.shopee.com.br/7prAbEqiFR,https://cf.shopee.com.br/file/sg-11134201-7rdx4-mbshcipg2j2yed,0.25,0.25,0.25,0.25,0.25,399.975,1599.9,1,1782874799,1777258800,1599.9,1599.9,"[100632, 100674, 100946]",4.5,20,[2],0.22,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",18465,789987783:19199841273,1,,,,,source_hits,"[""carrinho bebê""]",[]
11,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,6,50,True,,43319085177,218013732,HYPER-CLUB,Carrinho Rolimã Eletrico Triciclo Drift  65kg Kit Protecao Triciclo Drift Eletrico 250w Infantil,https://shopee.com.br/product/218013732/43319085177,https://s.shopee.com.br/3B5L2fYsQ5,https://cf.shopee.com.br/file/sg-11134201-824i9-meohecshbg8wb5,0.21,0.21,0.21,0.21,0.21,396.879,1889.9,0,1782874799,1777258800,1889.9,1889.9,"[100632, 100684, 101011]",5.0,42,[2],0.18,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",18678,218013732:43319085177,1,,,,,source_hits,"[""carrinho bebê""]",[]
12,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,2,50,True,,44373573463,789987783,Loja do Naka,Carrinho Bebê Passeio Desert Night Gb Pockit All-terrain Preto Preto E Branco,https://shopee.com.br/product/789987783/44373573463,https://s.shopee.com.br/6ffDD5v9cA,https://cf.shopee.com.br/file/sg-11134201-824h4-mfoff0hpaq6k0c,0.25,0.25,0.25,0.25,0.25,374.975,1499.9,1,1782874799,1777258800,1499.9,1499.9,"[100632, 100674, 100946]",5.0,20,[2],0.22,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",18462,789987783:44373573463,1,,,,,source_hits,"[""carrinho bebê""]",[]
13,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,2,50,True,,53403468593,789987783,Loja do Naka,Carrinho de Bebê Passeio Viagem Transporte Gb Bebê Pockit Air All-terrain Velvet Black Preto,https://shopee.com.br/product/789987783/53403468593,https://s.shopee.com.br/8AU0zqpRZb,https://cf.shopee.com.br/file/br-11134207-820ls-mnfsegfods766a,0.25,0.25,0.25,0.25,0.25,324.975,1299.9,0,1782874799,1777258800,1299.9,1299.9,"[100632, 100674, 100946]",5.0,50,[2],0.22,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",18471,789987783:53403468593,1,,,,,source_hits,"[""carrinho bebê""]",[]
14,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,2,50,True,,42620629917,789987783,Loja do Naka,Carrinho Bebê Laguna Blue Gb Pockit+ All-terrain (0 a 15kg),https://shopee.com.br/product/789987783/42620629917,https://s.shopee.com.br/6pydPOuWHD,https://cf.shopee.com.br/file/sg-11134201-8259m-meyrhj1t80zp25,0.25,0.25,0.25,0.25,0.25,312.475,1249.9,2,1782874799,1777258800,1249.9,1249.9,"[100632, 100674, 100946]",5.0,50,[2],0.22,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",18463,789987783:42620629917,1,,,,,source_hits,"[""carrinho bebê""]",[]
15,mae-e-bebe,Mae e Bebe,keyword,bolsa maternidade,2,50,True,,21030796391,427251682,Belaa Baby,Kit Bolsa Mala Maternidade New York Marinho/Bronze - 07 Peças,https://shopee.com.br/product/427251682/21030796391,https://s.shopee.com.br/8V6rOKI8lS,https://cf.shopee.com.br/file/br-11134207-7r98r-lmj2pv0nirquca,0.23,0.23,0.23,0.23,0.23,308.177,1339.9,0,1782874799,1777258800,1339.9,1339.9,"[100632, 100674, 100950]",5.0,33,[2],0.2,0.03,"[""keyword:bolsa maternidade""]","[""maternidade-bolsas-mochilas""]",15395,427251682:21030796391,1,,,,,source_hits,"[""bolsa maternidade""]",[]
16,mae-e-bebe,Mae e Bebe,keyword,bolsa maternidade,2,50,True,,17937584441,427251682,Belaa Baby,Kit Bolsa Mala Maternidade New York Cacau/Off - 06 Peças,https://shopee.com.br/product/427251682/17937584441,https://s.shopee.com.br/18JGhoV0Y,https://cf.shopee.com.br/file/br-11134207-7r98q-lmj2icebw4l3f4,0.23,0.23,0.23,0.23,0.23,285.177,1239.9,2,1782874799,1777258800,1239.9,1239.9,"[100632, 100674, 100950]",5.0,31,[2],0.2,0.03,"[""keyword:bolsa maternidade""]","[""maternidade-bolsas-mochilas""]",15380,427251682:17937584441,1,,,,,source_hits,"[""bolsa maternidade""]",[]
17,mae-e-bebe,Mae e Bebe,keyword,babá eletrônica,4,50,True,,23898312857,839608910,BabyStock,Babá Eletrônica See Pro com Monitor White - Maxi-Cosi,https://shopee.com.br/product/839608910/23898312857,https://s.shopee.com.br/5AqPSWh3Zv,https://cf.shopee.com.br/file/sg-11134201-7rd6f-m7i55o4fwoof26,0.15,0.15,0.15,0.15,0.15,284.85,1899.0,0,1782874799,1777258800,1899.0,1899.0,"[100632, 100680, 100984]",5.0,0,[],0.12,0.03,"[""keyword:babá eletrônica"", ""keyword:monitor bebê""]","[""quarto-monitoramento""]",36167,839608910:23898312857,1,,,,,source_hits,"[""babá eletrônica"", ""monitor bebê""]",[]
18,feminino,Feminino,keyword,roupas atacado,7,50,True,,19699903348,1583426145,Bombollê Kids,Kit 48 Conjuntos de Pijama Brilha no Escuro Personagem Menina e Menino Infantil Para Atacado Revenda,https://shopee.com.br/product/1583426145/19699903348,https://s.shopee.com.br/8AU1HDcYif,https://cf.shopee.com.br/file/sg-11134201-824j0-mefntq6icmps23,0.19,0.19,0.19,0.19,0.19,265.981,1399.9,0,1782874799,1777258800,1399.9,1399.9,"[100633, 100691, 101050]",5.0,0,[2],0.16,0.03,"[""keyword:roupas atacado"", ""keyword:roupa bebê""]","[""roupas-geral""]",57246,1583426145:19699903348,1,,,,,source_hits,"[""roupas atacado"", ""roupa bebê""]",[]
19,mae-e-bebe,Mae e Bebe,keyword,bolsa maternidade,20,50,True,,17531249679,427251682,Belaa Baby,Kit Bolsa Maternidade Linho Preto - 07 Peças,https://shopee.com.br/product/427251682/17531249679,https://s.shopee.com.br/7Kuu0DLdUT,https://cf.shopee.com.br/file/br-11134207-7r98o-loodrhx5fcfm7c,0.13,0.13,0.13,0.13,0.13,259.987,1999.9,1,1782874799,1777258800,1999.9,1999.9,"[100632, 100674, 100950]",5.0,33,[2],0.1,0.03,"[""keyword:bolsa maternidade""]","[""maternidade-bolsas-mochilas""]",16179,427251682:17531249679,1,,,,,source_hits,"[""bolsa maternidade""]",[]
