keyword_type,keyword,subniche,match_rule,historical_rows_with_keyword
source_hits_keyword,aquecedor mamadeira,alimentacao-aquecedores,exact_normalized_source_hit,142
source_hits_keyword,babador,alimentacao-babadores,exact_normalized_source_hit,951
source_hits_keyword,cadeira alimentação bebê,alimentacao-cadeiras,exact_normalized_source_hit,1088
source_hits_keyword,copo treinamento,alimentacao-copos-treinamento,exact_normalized_source_hit,1027
source_hits_keyword,esterilizador mamadeira,alimentacao-esterilizadores,exact_normalized_source_hit,129
source_hits_keyword,mamadeira,alimentacao-mamadeiras,exact_normalized_source_hit,1005
source_hits_keyword,colher bebê,alimentacao-pratos-talheres,exact_normalized_source_hit,970
source_hits_keyword,prato bebê,alimentacao-pratos-talheres,exact_normalized_source_hit,1024
source_hits_keyword,almofada amamentação,amamentacao-almofadas,exact_normalized_source_hit,1148
source_hits_keyword,organizador leite materno,amamentacao-armazenamento-leite,exact_normalized_source_hit,4
source_hits_keyword,bomba tira leite,amamentacao-extracao-leite,exact_normalized_source_hit,1069
source_hits_keyword,coletor leite materno,amamentacao-extracao-leite,exact_normalized_source_hit,266
source_hits_keyword,banheira bebê,banho-banheiras,exact_normalized_source_hit,1062
source_hits_keyword,brinquedo montessori bebê,brinquedos-montessori,exact_normalized_source_hit,1195
source_hits_keyword,tapete atividade bebê,brinquedos-tapetes-atividade,exact_normalized_source_hit,83
source_hits_keyword,enxoval bebê,enxoval-kits,exact_normalized_source_hit,1265
source_hits_keyword,aspirador nasal bebê,higiene-saude-aspiradores-nasais,exact_normalized_source_hit,841
source_hits_keyword,termômetro bebê,higiene-saude-termometros,exact_normalized_source_hit,594
source_hits_keyword,cortador unha bebê,higiene-saude-unhas,exact_normalized_source_hit,698
source_hits_keyword,bolsa maternidade,maternidade-bolsas-mochilas,exact_normalized_source_hit,1171
source_hits_keyword,mochila maternidade,maternidade-bolsas-mochilas,exact_normalized_source_hit,1186
source_hits_keyword,chupeta,oral-mordedores-chupetas,exact_normalized_source_hit,29
source_hits_keyword,mordedor bebê,oral-mordedores-chupetas,exact_normalized_source_hit,843
source_hits_keyword,bebê conforto,passeio-bebe-conforto,exact_normalized_source_hit,1032
source_hits_keyword,canguru bebê,passeio-canguru-ergonomico,exact_normalized_source_hit,818
source_hits_keyword,carrinho bebê,passeio-carrinhos,exact_normalized_source_hit,978
source_hits_keyword,sling bebê,passeio-sling-wrap,exact_normalized_source_hit,310
source_hits_keyword,babá eletrônica,quarto-monitoramento,exact_normalized_source_hit,765
source_hits_keyword,monitor bebê,quarto-monitoramento,exact_normalized_source_hit,804
